一	j ɐ t
刀	t ou
口	h ɐu
分	f ɐ n
切	t sʰ i: t
切	t sʰ ɐi
心	s ɐ m
手	s ɐu
斤	k ɐ n
半	p u: n
旦	t a: n
生	s ɐ ŋ
生	s a: ŋ
共	k ʊ ŋ
再	t s ɔ:i
同	tʰ ʊ ŋ
向	h œ: ŋ
早	t s ou
些	s ɛ:
併	p ɪ ŋ
併	pʰ ɪ ŋ
來	l ɔ:i
來	l ɐi
味	m ei
定	t ɛ: ŋ
定	t ɪ ŋ
直	t s ɪ k
則	t s ɐ k
度	t ou
度	t ɔ: k
律	l ɵ t
流	l ɐu
致	t s i:
面	m i: n
旁	pʰ ɔ: ŋ
時	s i:
般	p ɔ:
般	p u: n
起	h ei
陣	t s ɐ n
帶	t a:i
貫	k u: n
塊	f a:i
會	kʰ u:i
會	w u:i
概	kʰ ɔ:i
經	k ɪ ŋ
路	l ou
道	t ou
齊	t s i:
齊	t sʰ ɐi
齊	t s ɐi
樣	j œ: ŋ
點	t i: m
邊	p i: n
體	tʰ ɐi
丁	t s a: ŋ
丁	t ɪ ŋ
丁	t s ɐ ŋ
級	kʰ ɐ p
七	t sʰ ɐ t
夕	t s ɪ k
彩	t sʰ ɔ:i
乃	ɔ:i
乃	n a:i
至	t s i:
了	l i:u
卻	kʰ œ: k
得	t ɐ k
結	k i: t
結	l i: t
解	h a:i
解	k a:i
斷	tʰ y: n
斷	t y: n
二	j i:
叔	s ʊ k
姑	k u:
胡	w u:
等	t ɐ ŋ
樓	l ɐu
人	j ɐ n
力	l ɪ k
士	s i:
工	k ʊ ŋ
才	t sʰ ɔ:i
文	m ɐ n
世	s ɐi
奶	l a:i
奶	n a:i
民	m ɐ n
名	m ɛ: ŋ
名	m ɪ ŋ
次	t sʰ i:
身	s ɐ n
身	k y: n
事	s i:
命	m ɛ: ŋ
命	m ɪ ŋ
性	s ɪ ŋ
物	m ɐ t
品	p ɐ n
為	w ɐi
們	m u: n
員	j y: n
員	w ɐ n
家	k a:
家	k u:
格	k a: k
馬	m a:
參	s a: m
參	s ɐ m
參	t sʰ ɐ m
參	t sʰ a: m
情	t sʰ ɪ ŋ
造	t sʰ ou
造	t s ou
間	k a: n
猿	j y: n
瑞	s ɵy
群	kʰ w ɐ n
種	t s ʊ ŋ
稱	t sʰ ɪ ŋ
稱	t sʰ ɐ n
際	t s ɐi
影	j ɪ ŋ
影	j ɛ: ŋ
數	s ou
數	s ɔ: k
潮	t sʰ i:u
緣	j y: n
質	t s i:
質	t s ɐ t
選	s y: n
證	t s ɪ ŋ
類	l ɵy
權	kʰ y: n
入	j ɐ p
主	t s y:
冬	t ʊ ŋ
伍	ŋ
伙	f ɔ:
股	k u:
門	m u: n
侵	t sʰ ɐ m
城	s ɪ ŋ
城	s ɛ: ŋ
席	t s ɪ k
座	t s ɔ:
神	s ɐ n
迷	m ɐi
院	j y: n
眼	a: n
眼	ŋ a: n
圍	w ɐi
場	t sʰ œ: ŋ
境	k ɪ ŋ
獄	j ʊ k
睡	s ɵy
賬	t s œ: ŋ
學	h ɔ: k
殮	l i: m
營	j ɪ ŋ
聲	s ɪ ŋ
聲	s ɛ: ŋ
籍	t s ɪ k
黨	t ɔ: ŋ
八	p a: t
字	t s i:
成	t sʰ ɪ ŋ
成	s ɪ ŋ
成	s ɛ: ŋ
卦	k w a:
刃	j ɐ n
叉	t sʰ a:
子	t s i:
片	pʰ i: n
尖	t s i: m
具	k ɵy
柄	p ɛ: ŋ
柄	p ɪ ŋ
疤	p a:
背	p u:i
痕	h ɐ n
傷	s œ: ŋ
槍	t sʰ œ: ŋ
劍	k i: m
鋒	f ʊ ŋ
刁	t i:u
難	n a: n
蠻	m a: n
鑽	t s y: n
求	kʰ ɐu
氣	h ei
量	l œ: ŋ
戰	t s i: n
薦	t s i: n
勸	h y: n
匕	p ei
首	s ɐu
十	s ɐ p
足	t s ɵy
足	t s ʊ k
歲	s ɵy
誡	k a:i
卜	p ʊ k
丈	t s œ: ŋ
夫	f u:
三	s a: m
思	s i:
思	s ɔ:i
上	s œ: ŋ
山	s a: n
升	s ɪ ŋ
午	ŋ
天	tʰ i: n
方	f ɔ: ŋ
去	h ɵy
台	tʰ ɔ:i
台	j i:
司	s i:
市	s i:
任	j ɐ m
吊	t i:u
旬	t sʰ ɵ n
色	s ɪ k
衣	j i:
床	t sʰ ɔ: ŋ
車	t sʰ ɛ:
車	k ɵy
京	k ɪ ŋ
周	t s ɐu
岸	ŋ ɔ: n
昇	s ɪ ŋ
空	h ʊ ŋ
前	t sʰ i: n
帝	t ɐi
映	j ɪ ŋ
述	s ɵ t
限	h a: n
風	f ʊ ŋ
香	h œ: ŋ
乘	s ɪ ŋ
校	k a:u
校	h a:u
班	p a: n
將	t s œ: ŋ
尉	w ɐi
尉	w ɐ t
船	s y: n
報	p ou
揚	j œ: ŋ
朝	t s i:u
朝	t sʰ i:u
款	f u: n
游	j ɐu
策	t sʰ a: k
街	k a:i
訴	s ou
進	t s ɵ n
集	t s a: p
當	t ɔ: ŋ
榜	pʰ ɔ: ŋ
榜	p ɔ: ŋ
演	j i: n
漲	t s œ: ŋ
賓	p ɐ n
層	t sʰ ɐ ŋ
課	f ɔ:
頭	tʰ ɐu
聯	l y: n
鎖	s ɔ:
顎	ŋ ɔ: k
癮	j ɐ n
下	h a:
凡	f a: n
巴	p a:
水	s ɵy
令	l ɪ ŋ
令	l i: m
冊	t sʰ a: k
列	l a: t
列	l i: t
坡	pʰ ɔ:
坡	p ɔ:
放	f ɔ: ŋ
注	t s y:
肢	t s i:
雨	j y:
垂	s ɵy
降	h ɔ: ŋ
降	k ɔ: ŋ
唇	t sʰ ɵ n
挫	t sʰ ɔ:
海	h ɔ:i
崗	k ɔ: ŋ
貨	f ɔ:
陷	h a: m
陷	h ɐ m
雪	s y: t
棋	kʰ ei
筆	p ɐ t
跌	t i: t
鄉	h œ: ŋ
嫁	k a:
滑	k w ɐ t
滑	w a: t
落	l ɔ: k
落	l a:i
葬	t s ɔ: ŋ
跪	k w ɐi
榻	tʰ a: p
廚	t sʰ ɵy
廚	t sʰ y:
賤	t s i: n
鍋	w ɔ:
屬	t s ʊ k
屬	s ʊ k
丫	a:
環	w a: n
鬟	w a: n
丸	j y: n
久	k ɐu
候	h ɐu
違	w ɐi
么	m ɔ:
么	j i:u
兒	ŋ ɐi
兒	j i:
乞	h ɐ t
丐	kʰ ɔ:i
食	s ɪ k
食	j i:
食	t s i:
討	tʰ ou
援	j y: n
援	w u: n
也	j a:
好	h ou
有	j ɐu
能	n ɐ ŋ
許	h ɵy
亡	m ɔ: ŋ
亡	m ou
妻	t sʰ ɐi
靈	l ɛ: ŋ
靈	l ɪ ŋ
是	s i:
塵	t sʰ ɐ n
千	t sʰ i: n
古	k u:
金	k ɐ m
萬	m a: n
腰	j i:u
吃	j a: k
吃	h ɐ t
吃	k ɐ t
吃	h ɛ: k
吻	m ɐ n
技	k ei
角	k ɔ: k
角	l ʊ k
供	k ʊ ŋ
服	f ʊ k
信	s ɵ n
型	j ɪ ŋ
紅	h ʊ ŋ
紅	k ʊ ŋ
音	j ɐ m
哨	s a:u
徑	k ɪ ŋ
袋	t ɔ:i
訣	kʰ y: t
渴	h ɔ: t
琴	kʰ ɐ m
腔	h ɔ: ŋ
傳	t s y: n
傳	t sʰ y: n
碑	p ei
罩	t s a:u
號	h ou
試	s i:
福	f ʊ k
語	j y:
德	t ɐ k
齒	t sʰ i:
譯	j ɪ k
土	tʰ ou
地	t ei
地	t ɛ: ŋ
法	f a: t
匪	f ei
堆	t ɵy
產	t sʰ a: n
著	t s œ: k
著	t s y:
話	w a:
製	t s ɐi
豪	h ou
牆	t sʰ œ: ŋ
壤	j œ: ŋ
兵	p ɪ ŋ
卒	t sʰ y: t
卒	t s ɵ t
官	k u: n
族	t s ʊ k
陽	j œ: ŋ
大	t a:i
小	s i:u
戶	w u:
多	t ɔ:
考	h a:u
臣	s ɐ n
作	t s ɔ: k
批	pʰ ɐi
旱	h ɔ: n
肚	tʰ ou
使	s i:
使	s ɐi
典	t i: n
抵	t ɐi
於	w u:
於	j y:
姨	j i:
洋	j œ: ŋ
約	j œ: k
哥	k ɔ:
哭	h ʊ k
娘	n œ: ŋ
師	s i:
堂	tʰ ɔ: ŋ
專	t s y: n
敗	p a:i
眾	t s ʊ ŋ
都	t ou
陸	l ʊ k
麥	m ɐ k
麥	m a: k
麻	m a:
喊	h a: m
喊	h ɐ m
幅	f ʊ k
象	t s œ: ŋ
隊	t ɵy
媽	m a:
嫂	s ou
廈	h a:
意	j i:
殿	t i: n
煙	j i: n
爺	j ɛ:
肆	s i:
肆	s ei
葱	t sʰ ʊ ŋ
鼓	k u:
漠	m ɔ: k
漢	h ɔ: n
綱	k ɔ: ŋ
腿	tʰ ɵy
蒜	s y: n
戲	h ei
戲	f u:
膽	t a: m
舉	k ɵy
賽	t sʰ ɔ:i
廳	tʰ ɛ: ŋ
女	n ɵy
女	j y:
女	l ɵy
友	j ɐu
王	w ɔ: ŋ
巫	m ou
俠	h ɐ p
俠	h a: p
孩	h a:i
孩	h ɔ:i
星	s ɪ ŋ
星	s ɛ: ŋ
皇	w ɔ: ŋ
郎	l ɔ: ŋ
婿	s ɐi
廁	t sʰ ɐ k
廁	t sʰ i:
傭	j ʊ ŋ
裝	t s ɔ: ŋ
僕	p ʊ k
警	k ɪ ŋ
夜	j ɛ:
孫	s y: n
宮	k ʊ ŋ
彈	tʰ a: n
彈	t a: n
丑	t sʰ ɐu
巧	h a:u
巧	kʰ i:u
舟	t s ɐu
弟	t ɐi
弟	t i:
弟	tʰ ɐi
妹	m u:i
姐	t s ɛ:
便	p i: n
便	pʰ i: n
屋	ʊ k
屋	ŋ ʊ k
看	h ɔ: n
偷	tʰ ɐu
組	t s ou
販	f a: n
趾	t s i:
鳥	n i:u
湖	w u:
菜	t sʰ ɔ:i
費	f ɐi
費	p ei
楷	kʰ a:i
楷	k a:i
溪	kʰ ɐi
節	t s i: t
艇	tʰ ɛ: ŋ
艇	tʰ ɪ ŋ
凳	t ɐ ŋ
說	s y: t
說	j y: t
說	s ɵy
寫	s ɛ:
調	t ɛ:u
調	tʰ i:u
調	t i:u
鎮	t s ɐ n
川	t sʰ y: n
丘	j ɐu
羊	j œ: ŋ
芋	w u:
谷	j ʊ k
谷	k ʊ k
林	l ɐ m
河	h ɔ:
洞	t ʊ ŋ
峰	f ʊ ŋ
脈	m ɐ k
脊	t s ɛ: k
脊	t s ɪ k
區	kʰ ɵy
區	ɐu
崖	ŋ a:i
莊	t s ɔ: ŋ
野	j ɛ:
頂	t ɪ ŋ
頂	t ɛ: ŋ
勢	s ɐi
楂	t s a:
楂	t sʰ a:
溝	k ɐu
